tract_id,total_buildings,total_TIV,peak_gust_mph,TIV_millions,lat,lon,expected_loss,MDR,loss_M,wind_mph,bldgs_DS0,bldgs_DS1,bldgs_DS2,bldgs_DS3,bldgs_DS4,wind_hol,wind_cgan,wind_diff,TIV_M,buildings
12071001920,484,78124500.0,149.2,78.12,26.50394366009358,-81.88981223615122,47183913.0,0.6039579517308911,47.18,149.2,13.0,35.0,72.0,99.0,266.0,149.2,149.12461699954105,-0.07538300045894175,78.12,484
12071001921,2073,334239000.0,147.9,334.24,26.464373652639157,-81.89505989867565,199127331.9,0.5957633067954368,199.13,147.9,58.0,159.0,310.0,429.0,1119.0,147.9,149.75751443326132,1.857514433261315,334.24,2073
12071001922,212,34106000.0,149.2,34.11,26.51276411052799,-81.9583771457436,20614681.2,0.6044297542954319,20.61,149.2,5.0,16.0,31.0,43.0,116.0,149.2,151.68649928374393,2.486499283743939,34.11,212
12071001923,395,63803000.0,151.2,63.8,26.514667194733217,-81.97302134791694,39317608.8,0.6162344842718994,39.32,151.2,10.0,29.0,56.0,80.0,221.0,151.2,153.53692017867428,2.3369201786742906,63.8,395
12071010104,270,43561500.0,156.2,43.56,26.763770051625436,-82.05059869960623,28178453.55,0.6468660066802108,28.18,156.2,5.0,16.0,35.0,54.0,160.0,156.2,155.88117371516603,-0.31882628483396047,43.56,270
12071010106,587,94688000.0,155.5,94.69,26.66305459627461,-82.02565600349394,60891648.2,0.643076717218655,60.89,155.5,12.0,36.0,77.0,116.0,346.0,155.5,155.9761814362232,0.476181436223186,94.69,587
12071010107,411,66304500.0,154.3,66.3,26.674353005691113,-82.00614011820008,42166193.1,0.6359476822840079,42.17,154.3,9.0,26.0,56.0,82.0,239.0,154.3,155.73689514710534,1.4368951471053322,66.3,411
12071010108,791,127661500.0,155.4,127.66,26.6492760577318,-82.01224565523466,81989175.45,0.6422388539222867,81.99,155.4,16.0,49.0,104.0,156.0,465.0,155.4,157.80331769068354,2.4033176906835365,127.66,791
12071010109,753,121488000.0,155.8,121.49,26.660493009158827,-82.04992454559176,78310837.2,0.6445973034373765,78.31,155.8,15.0,46.0,99.0,149.0,446.0,155.8,156.02123864323207,0.22123864323205567,121.49,753
12071010110,3946,636142000.0,156.0,636.14,26.702775845127874,-82.06467989309445,411144142.0,0.6463087518195623,411.14,156.0,78.0,242.0,512.0,774.0,2338.0,156.0,156.66151153500428,0.66151153500428,636.14,3946
12071010111,921,148596000.0,155.3,148.6,26.69129488965343,-82.01313920934524,95381016.0,0.6418814503755148,95.38,155.3,18.0,58.0,121.0,182.0,541.0,155.3,154.58049753899098,-0.7195024610090286,148.6,921
12071010112,270,43561500.0,146.3,43.56,26.748137656663136,-81.93007339728734,25474696.5,0.5847984229193209,25.47,146.3,9.0,20.0,41.0,56.0,143.0,146.3,145.445690063879,-0.8543099361210125,43.56,270
12071010113,5263,848596500.0,153.0,848.6,26.740425461135782,-81.99281180454946,533006213.7000001,0.628103243060748,533.01,153.0,118.0,352.0,721.0,1054.0,3016.0,153.0,155.1587887335913,2.158788733591308,848.6,5263
12071010203,979,157760000.0,148.2,157.76,26.682379887286892,-81.93849403286796,94329274.0,0.5979289680527383,94.33,148.2,26.0,75.0,145.0,202.0,530.0,148.2,151.17436004285622,2.974360042856233,157.76,979
12071010205,661,106645000.0,152.8,106.64,26.664409259791505,-81.97285767457129,66840753.1,0.6267593708096957,66.84,152.8,15.0,44.0,92.0,131.0,377.0,152.8,153.6319848176295,0.8319848176294897,106.64,661
12071010206,879,141636000.0,152.2,141.64,26.690222352549117,-81.97791777565313,88284042.0,0.623316402609506,88.28,152.2,19.0,60.0,122.0,177.0,500.0,152.2,154.64529934683802,2.445299346838027,141.64,879
12071010207,803,129437500.0,149.5,129.44,26.717688403396494,-81.9521688564753,78476376.05,0.6062877917914051,78.48,149.5,19.0,59.0,118.0,165.0,442.0,149.5,150.98245403757144,1.4824540375714435,129.44,803
12071010208,589,94935500.0,147.7,94.94,26.707593100555655,-81.93902258158388,56443765.3,0.5945485650783953,56.44,147.7,16.0,45.0,88.0,122.0,317.0,147.7,147.6723203680923,-0.027679631907687963,94.94,589
12071010209,191,30917500.0,143.7,30.92,26.73312069270146,-81.91787874794949,17509075.95,0.5663160329910245,17.51,143.7,6.0,17.0,30.0,39.0,98.0,143.7,145.1820934082626,1.4820934082626138,30.92,191
12071010210,487,78564000.0,144.5,78.56,26.711741039090825,-81.91553377640608,45030915.6,0.5731749350847717,45.03,144.5,16.0,42.0,77.0,103.0,251.0,144.5,147.74705484969894,3.247054849698941,78.56,487
12071010302,511,82428500.0,146.0,82.43,26.664216533905954,-81.92596943180443,48080286.45,0.5832968748673093,48.08,146.0,16.0,42.0,79.0,107.0,269.0,146.0,146.88626094133508,0.886260941335081,82.43,511
12071010303,378,60966500.0,148.7,60.97,26.62111861609332,-81.94841297709651,36652752.3,0.6011949562464632,36.65,148.7,11.0,29.0,56.0,79.0,208.0,148.7,151.986965483721,3.286965483721019,60.97,378
12071010305,352,56942500.0,146.2,56.94,26.640428414640922,-81.91601159038315,33233788.9,0.583637685384379,33.23,146.2,11.0,29.0,53.0,73.0,185.0,146.2,143.21038234386538,-2.9896176561346124,56.94,352
12071010306,467,75282000.0,151.0,75.28,26.642977221089783,-81.9697547086506,46360354.8,0.6158225711325416,46.36,151.0,11.0,33.0,65.0,96.0,262.0,151.0,153.17285375656283,2.17285375656283,75.28,467
12071010307,461,74397000.0,148.7,74.4,26.64863493949149,-81.94991484765305,44701204.2,0.6008468647929351,44.7,148.7,12.0,35.0,67.0,96.0,252.0,148.7,149.77057060235725,1.0705706023572645,74.4,461
12071010308,344,55288000.0,146.2,55.29,26.63954209505889,-81.9299355978371,32376120.4,0.5855903704239618,32.38,146.2,11.0,28.0,52.0,70.0,181.0,146.2,146.6914889743012,0.4914889743012054,55.29,344
12071010309,518,83654500.0,146.2,83.65,26.618744712179854,-81.9285063521079,48863096.5,0.5841060134242629,48.86,146.2,16.0,42.0,79.0,108.0,274.0,146.2,147.27764116480324,1.0776411648032536,83.65,518
12071010404,709,114198500.0,152.9,114.2,26.61686441956542,-81.98341571478056,71700951.5,0.6278624631672045,71.7,152.9,16.0,47.0,96.0,142.0,406.0,152.9,150.85864662809865,-2.0413533719013515,114.2,709
12071010411,320,51654000.0,152.6,51.65,26.57093263676213,-81.98658574866155,32284017.0,0.6250051690091765,32.28,152.6,7.0,22.0,43.0,65.0,182.0,152.6,153.21049216824372,0.6104921682437237,51.65,320
12071010412,295,47679000.0,152.6,47.68,26.578067278445133,-81.9767442678164,29788154.1,0.624764657396338,29.79,152.6,6.0,19.0,41.0,59.0,167.0,152.6,154.0756688572676,1.4756688572676069,47.68,295
12071010413,306,49257000.0,151.0,49.26,26.620460481275305,-81.96477386720967,30349107.9,0.6161379682075644,30.35,151.0,7.0,21.0,43.0,63.0,171.0,151.0,154.15684106711228,3.156841067112282,49.26,306
12071010414,197,31802500.0,150.9,31.8,26.603487804384937,-81.96868402015949,19536041.95,0.6142926483767,19.54,150.9,5.0,14.0,27.0,41.0,111.0,150.9,151.06259467258954,0.16259467258953464,31.8,197
12071010415,3139,506067000.0,154.6,506.07,26.53054120807477,-82.03571815238891,322804678.5,0.6378694491045652,322.8,154.6,67.0,201.0,418.0,622.0,1832.0,154.6,154.32725959566022,-0.2727404043397712,506.07,3139
12071010416,307,49455000.0,154.7,49.46,26.555826495367086,-82.01980601170575,31605851.7,0.6390830391264786,31.61,154.7,6.0,19.0,41.0,61.0,180.0,154.7,154.88736443462318,0.1873644346231913,49.46,307
12071010417,278,44842500.0,153.4,44.84,26.545821404151518,-81.9992708435172,28288075.2,0.630831804649607,28.29,153.4,6.0,18.0,38.0,56.0,160.0,153.4,155.71310317655312,2.3131031765531134,44.84,278
12071010418,338,54545500.0,153.8,54.55,26.56484608221025,-81.99768404625178,34524256.15,0.6329441686298595,34.52,153.8,8.0,23.0,45.0,67.0,196.0,153.8,155.23312666448953,1.4331266644895209,54.55,338
12071010419,463,74644500.0,154.4,74.64,26.623638334524898,-81.99914677670422,47525486.7,0.636691071679762,47.53,154.4,10.0,30.0,62.0,92.0,269.0,154.4,154.54535969434946,0.14535969434945173,74.64,463
12071010420,863,139140500.0,155.3,139.14,26.622754746384736,-82.02328343565583,89341978.8,0.6420990207739659,89.34,155.3,18.0,54.0,114.0,170.0,507.0,155.3,157.00990114967004,1.7099011496700314,139.14,863
12071010421,511,82428500.0,154.3,82.43,26.59396519099647,-82.0013423017191,52421013.9,0.635957392164118,52.42,154.3,11.0,33.0,68.0,103.0,298.0,154.3,155.38561632402207,1.0856163240220553,82.43,511
12071010422,507,81703000.0,154.9,81.7,26.582922752142043,-82.02169362460832,52290671.8,0.6400092016205036,52.29,154.9,11.0,32.0,67.0,101.0,297.0,154.9,157.29296748579935,2.392967485799346,81.7,507
12071010423,2011,324288500.0,155.1,324.29,26.59864979437952,-82.04750597887393,207822316.45,0.6408562636356208,207.82,155.1,42.0,127.0,265.0,397.0,1179.0,155.1,154.98692035918396,-0.11307964081603927,324.29,2011
12071010501,225,36223000.0,150.9,36.22,26.595683275039796,-81.9590253000107,22286598.4,0.6152609778317643,22.29,150.9,5.0,16.0,33.0,46.0,126.0,150.9,151.34850678010335,0.44850678010334377,36.22,225
12071010503,220,35530000.0,150.7,35.53,26.578965066645114,-81.96432693501868,21775983.9,0.6128900619195046,21.78,150.7,5.0,16.0,32.0,45.0,124.0,150.7,151.05183777030174,0.35183777030175634,35.53,220
12071010504,106,17009000.0,150.7,17.01,26.572120903182732,-81.9605445224063,10465724.1,0.6153050796637074,10.47,150.7,1.0,7.0,15.0,22.0,59.0,150.7,149.4447275778018,-1.2552724221981748,17.01,106
