tract_id,county_fips,n_units,MBT,pct_share,n_buildings,avg_sq_ft,TIV_per_unit,TIV_total,peak_gust_mph
12071050603,12071,238,M1,0.1,24,1600.0,192000.0,4608000.0,129.0
12071050603,12071,238,C1,0.05,12,2000.0,280000.0,3360000.0,129.0
12071050603,12071,238,S1,0.03,7,2200.0,341000.0,2387000.0,129.0
12071050402,12071,334,W1,0.52,174,1800.0,198000.0,34452000.0,127.6
12071050402,12071,334,MH,0.3,100,900.0,49500.0,4950000.0,127.6
12071050402,12071,334,M1,0.1,33,1600.0,192000.0,6336000.0,127.6
12071050402,12071,334,C1,0.05,17,2000.0,280000.0,4760000.0,127.6
12071050402,12071,334,S1,0.03,10,2200.0,341000.0,3410000.0,127.6
12071050604,12071,256,W1,0.52,133,1800.0,198000.0,26334000.0,126.7
12071050604,12071,256,MH,0.3,77,900.0,49500.0,3811500.0,126.7
12071050604,12071,256,M1,0.1,26,1600.0,192000.0,4992000.0,126.7
12071050604,12071,256,C1,0.05,13,2000.0,280000.0,3640000.0,126.7
12071050604,12071,256,S1,0.03,8,2200.0,341000.0,2728000.0,126.7
12071050401,12071,340,W1,0.52,177,1800.0,198000.0,35046000.0,127.2
12071050401,12071,340,MH,0.3,102,900.0,49500.0,5049000.0,127.2
12071050401,12071,340,M1,0.1,34,1600.0,192000.0,6528000.0,127.2
12071050401,12071,340,C1,0.05,17,2000.0,280000.0,4760000.0,127.2
12071050401,12071,340,S1,0.03,10,2200.0,341000.0,3410000.0,127.2
12071040212,12071,1174,W1,0.52,610,1800.0,198000.0,120780000.0,141.9
12071040212,12071,1174,MH,0.3,352,900.0,49500.0,17424000.0,141.9
12071040212,12071,1174,M1,0.1,117,1600.0,192000.0,22464000.0,141.9
12071040212,12071,1174,C1,0.05,59,2000.0,280000.0,16520000.0,141.9
12071040212,12071,1174,S1,0.03,35,2200.0,341000.0,11935000.0,141.9
12071050315,12071,336,W1,0.52,175,1800.0,198000.0,34650000.0,133.6
12071050315,12071,336,MH,0.3,101,900.0,49500.0,4999500.0,133.6
12071050315,12071,336,M1,0.1,34,1600.0,192000.0,6528000.0,133.6
12071050315,12071,336,C1,0.05,17,2000.0,280000.0,4760000.0,133.6
12071050315,12071,336,S1,0.03,10,2200.0,341000.0,3410000.0,133.6
12071050318,12071,906,W1,0.52,471,1800.0,198000.0,93258000.0,131.6
12071050318,12071,906,MH,0.3,272,900.0,49500.0,13464000.0,131.6
