tract_id,total_TIV,expected_loss,n_buildings,wind_mph,bldgs_DS0,bldgs_DS1,bldgs_DS2,bldgs_DS3,bldgs_DS4,MDR,loss_ratio,TIV_M,loss_M
12071020103,106199500.0,62338497.1,658,146.6,19.0,52.0,101.0,138.0,349.0,0.5869942617432286,0.5869942617432286,106.2,62.34
12071020104,93264000.0,55408925.1,579,147.6,16.0,45.0,86.0,120.0,312.0,0.5941083923057129,0.5941083923057129,93.26,55.41
12071020201,254702000.0,158428546.6,1580,152.0,36.0,108.0,220.0,318.0,895.0,0.622015322219692,0.622015322219692,254.7,158.43
12071020202,423199000.0,264759560.7,2625,152.6,59.0,177.0,362.0,527.0,1498.0,0.6256148069820581,0.6256148069820581,423.2,264.76
12071020301,64743500.0,40035945.35,402,151.4,10.0,29.0,57.0,81.0,226.0,0.6183778348405632,0.6183778348405632,64.74,40.04
12071020302,47679000.0,28890237.0,295,149.6,8.0,21.0,43.0,60.0,163.0,0.6059321084754294,0.6059321084754294,47.68,28.89
12071020400,167661000.0,104702280.9,1040,152.4,25.0,71.0,143.0,209.0,592.0,0.6244879900513537,0.6244879900513537,167.66,104.7
12071020501,36613000.0,22122424.2,227,149.2,6.0,18.0,34.0,47.0,125.0,0.6042232048725862,0.6042232048725862,36.61,22.12
12071020502,69108500.0,42694527.65,429,151.3,11.0,30.0,60.0,87.0,241.0,0.6177898181844491,0.6177898181844491,69.11,42.69
12071020600,76057000.0,44208361.3,472,145.7,14.0,38.0,72.0,99.0,247.0,0.5812530247051553,0.5812530247051553,76.06,44.21
12071020700,82428500.0,47915242.25,511,145.7,16.0,42.0,79.0,107.0,267.0,0.5812946038081489,0.5812946038081489,82.43,47.92
12071020801,34304000.0,19910146.2,213,145.5,6.0,18.0,32.0,44.0,111.0,0.5804030492070895,0.5804030492070895,34.3,19.91
12071020802,52099500.0,30209920.35,323,145.5,10.0,27.0,50.0,67.0,170.0,0.5798504851294158,0.5798504851294158,52.1,30.21
12071030100,896721000.0,526033677.0,5561,146.5,164.0,445.0,848.0,1159.0,2947.0,0.5866191122991432,0.5866191122991432,896.72,526.03
12071030201,113951000.0,66878940.6,707,146.5,20.0,56.0,108.0,148.0,375.0,0.586909641863608,0.586909641863608,113.95,66.88
12071030202,125957500.0,75585551.95,782,148.5,21.0,60.0,116.0,163.0,426.0,0.6000877434849057,0.6000877434849057,125.96,75.59
12071030205,156875000.0,87163776.7,973,141.9,35.0,88.0,159.0,207.0,484.0,0.5556256682071713,0.5556256682071713,156.88,87.16
12071030300,1120587500.0,641731064.45,6950,144.4,222.0,588.0,1095.0,1462.0,3583.0,0.5726737666179571,0.5726737666179571,1120.59,641.73
12071040108,79537000.0,47614778.5,493,148.4,14.0,36.0,73.0,102.0,268.0,0.598649414737795,0.598649414737795,79.54,47.61
12071040109,54793000.0,30759894.8,340,142.7,11.0,30.0,54.0,72.0,172.0,0.5613836584965233,0.5613836584965233,54.79,30.76
12071040110,93709500.0,57262213.65,582,150.2,15.0,43.0,84.0,118.0,323.0,0.611060923919133,0.611060923919133,93.71,57.26
12071040111,127183500.0,73940408.55,789,145.7,25.0,64.0,121.0,165.0,414.0,0.5813679333404097,0.5813679333404097,127.18,73.94
12071040113,200354500.0,116913058.05,1243,146.0,37.0,101.0,191.0,259.0,655.0,0.5835309815851403,0.5835309815851403,200.35,116.91
12071040117,125710000.0,76063876.5,780,149.3,19.0,57.0,112.0,161.0,429.0,0.6050741905974067,0.6050741905974067,125.71,76.06
12071040118,49455000.0,25271376.6,307,135.5,13.0,32.0,55.0,67.0,140.0,0.5109974037003336,0.5109974037003336,49.46,25.27
12071040120,42149000.0,22349355.9,261,138.3,11.0,27.0,45.0,56.0,123.0,0.5302464091674772,0.5302464091674772,42.15,22.35
12071040121,58520500.0,33678160.9,363,144.8,11.0,31.0,57.0,76.0,188.0,0.5754933894959886,0.5754933894959886,58.52,33.68
