tract_id,MBT,n_buildings,TIV_total,wind_mph,p_DS1,p_DS2,p_DS3,p_DS4,prob_DS0,prob_DS1,prob_DS2,prob_DS3,prob_DS4,MDR,expected_loss,bldgs_DS0,bldgs_DS1,bldgs_DS2,bldgs_DS3,bldgs_DS4
12071001920,M1,48,9216000.0,149.2,0.9564,0.8356,0.6368,0.3868,0.0436,0.1207,0.1988,0.25,0.3868,0.5341,4922265.600000001,2.0,6.0,10.0,12.0,19.0
12071001920,C1,24,6720000.0,149.2,0.8961,0.7331,0.4939,0.2449,0.1039,0.163,0.2392,0.249,0.2449,0.3966,2665152.0,2.0,4.0,6.0,6.0,6.0
12071001920,S1,15,5115000.0,149.2,0.8961,0.7331,0.4939,0.2449,0.1039,0.163,0.2392,0.249,0.2449,0.3966,2028609.0,2.0,2.0,4.0,4.0,4.0
12071001711,W1,87,17226000.0,149.6,0.9778,0.8975,0.7356,0.497,0.0222,0.0803,0.1619,0.2387,0.497,0.6341,10923006.6,2.0,7.0,14.0,21.0,43.0
12071001711,MH,50,2475000.0,149.6,0.9938,0.9712,0.898,0.779,0.0062,0.0226,0.0732,0.1191,0.779,0.8463,2094592.5000000002,0.0,1.0,4.0,6.0,39.0
12071001711,M1,17,3264000.0,149.6,0.9571,0.8375,0.6397,0.3898,0.0429,0.1196,0.1978,0.2499,0.3898,0.5369,1752441.6,1.0,2.0,3.0,4.0,7.0
12071001711,C1,8,2240000.0,149.6,0.8975,0.7356,0.497,0.2473,0.1025,0.1619,0.2387,0.2497,0.2473,0.3992,894208.0,1.0,1.0,2.0,2.0,2.0
12071001711,S1,5,1705000.0,149.6,0.8975,0.7356,0.497,0.2473,0.1025,0.1619,0.2387,0.2497,0.2473,0.3992,680636.0,1.0,1.0,1.0,1.0,1.0
12071001205,W1,86,17028000.0,151.2,0.9794,0.9028,0.7455,0.5091,0.0206,0.0766,0.1574,0.2364,0.5091,0.6445,10974546.0,2.0,7.0,14.0,20.0,44.0
12071001205,MH,50,2475000.0,151.2,0.9943,0.9729,0.9027,0.7868,0.0057,0.0214,0.0702,0.1159,0.7868,0.8522,2109195.0,0.0,1.0,4.0,6.0,39.0
12071001205,M1,17,3264000.0,151.2,0.9598,0.8449,0.651,0.4015,0.0402,0.1149,0.1939,0.2495,0.4015,0.5479,1788345.6,1.0,2.0,3.0,4.0,7.0
12071001205,C1,8,2240000.0,151.2,0.9028,0.7455,0.5091,0.257,0.0972,0.1574,0.2364,0.2521,0.257,0.4098,917952.0,1.0,1.0,2.0,2.0,2.0
12071001205,S1,5,1705000.0,151.2,0.9028,0.7455,0.5091,0.257,0.0972,0.1574,0.2364,0.2521,0.257,0.4098,698709.0,0.0,1.0,1.0,1.0,1.0
12071001204,W1,362,71676000.0,151.2,0.9794,0.9028,0.7455,0.5091,0.0206,0.0766,0.1574,0.2364,0.5091,0.6445,46195182.0,7.0,28.0,57.0,86.0,184.0
12071001204,MH,209,10345500.0,151.2,0.9943,0.9729,0.9027,0.7868,0.0057,0.0214,0.0702,0.1159,0.7868,0.8522,8816435.1,1.0,4.0,15.0,24.0,164.0
12071001204,M1,70,13440000.0,151.2,0.9598,0.8449,0.651,0.4015,0.0402,0.1149,0.1939,0.2495,0.4015,0.5479,7363776.000000001,3.0,8.0,14.0,17.0,28.0
12071001204,C1,35,9800000.0,151.2,0.9028,0.7455,0.5091,0.257,0.0972,0.1574,0.2364,0.2521,0.257,0.4098,4016040.0,3.0,6.0,8.0,9.0,9.0
12071001204,S1,21,7161000.0,151.2,0.9028,0.7455,0.5091,0.257,0.0972,0.1574,0.2364,0.2521,0.257,0.4098,2934577.8,2.0,3.0,5.0,5.0,5.0
12071010422,W1,264,52272000.0,154.9,0.9826,0.9142,0.7671,0.5366,0.0174,0.0684,0.1471,0.2305,0.5366,0.6679,34912468.800000004,5.0,18.0,39.0,61.0,142.0
12071010422,MH,152,7524000.0,154.9,0.9952,0.9765,0.9127,0.8039,0.0048,0.0187,0.0638,0.1087,0.8039,0.8651,6509012.399999999,1.0,3.0,10.0,17.0,122.0
12071010422,M1,51,9792000.0,154.9,0.9654,0.8608,0.6762,0.4284,0.0346,0.1046,0.1846,0.2478,0.4284,0.5728,5608857.6,2.0,5.0,9.0,13.0,22.0
12071010422,C1,25,7000000.0,154.9,0.9142,0.7671,0.5366,0.2798,0.0858,0.1471,0.2305,0.2568,0.2798,0.4342,3039400.0,2.0,4.0,6.0,6.0,7.0
12071010422,S1,15,5115000.0,154.9,0.9142,0.7671,0.5366,0.2798,0.0858,0.1471,0.2305,0.2568,0.2798,0.4342,2220933.0,1.0,2.0,3.0,4.0,4.0
12071040211,W1,443,87714000.0,140.8,0.967,0.8631,0.6761,0.4282,0.033,0.1039,0.187,0.2478,0.4282,0.5729,50251350.599999994,15.0,46.0,83.0,110.0,190.0
12071040211,MH,256,12672000.0,140.8,0.9906,0.9597,0.8684,0.7314,0.0094,0.0309,0.0913,0.137,0.7314,0.8097,10260518.4,2.0,8.0,23.0,35.0,187.0
12071040211,M1,85,16320000.0,140.8,0.9388,0.7914,0.5731,0.3252,0.0612,0.1474,0.2182,0.2479,0.3252,0.474,7735680.0,5.0,13.0,19.0,21.0,28.0
12071040211,C1,43,12040000.0,140.8,0.8631,0.6761,0.4282,0.1959,0.1369,0.187,0.2478,0.2323,0.1959,0.3406,4100824.0,6.0,8.0,11.0,10.0,8.0
12071040211,S1,26,8866000.0,140.8,0.8631,0.6761,0.4282,0.1959,0.1369,0.187,0.2478,0.2323,0.1959,0.3406,3019759.6,4.0,5.0,6.0,6.0,5.0
12071050321,W1,264,52272000.0,136.8,0.9604,0.8442,0.6459,0.3962,0.0396,0.1162,0.1983,0.2497,0.3962,0.5432,28394150.400000002,10.0,31.0,52.0,66.0,105.0
12071050321,MH,152,7524000.0,136.8,0.9886,0.953,0.8524,0.7072,0.0114,0.0356,0.1006,0.1452,0.7072,0.7906,5948474.399999999,2.0,5.0,15.0,22.0,107.0
12071050321,M1,51,9792000.0,136.8,0.9282,0.7669,0.5406,0.2962,0.0718,0.1612,0.2263,0.2445,0.2962,0.4443,4350585.6,4.0,8.0,12.0,12.0,15.0
12071050321,C1,25,7000000.0,136.8,0.8442,0.6459,0.3962,0.174,0.1558,0.1983,0.2497,0.2222,0.174,0.314,2198000.0,4.0,5.0,6.0,6.0,4.0
12071050321,S1,15,5115000.0,136.8,0.8442,0.6459,0.3962,0.174,0.1558,0.1983,0.2497,0.2222,0.174,0.314,1606110.0,2.0,3.0,4.0,3.0,3.0
12071040315,W1,288,57024000.0,138.4,0.9632,0.852,0.6582,0.4091,0.0368,0.1112,0.1938,0.2492,0.4091,0.5552,31659724.8,11.0,32.0,56.0,72.0,118.0
12071040315,MH,166,8217000.0,138.4,0.9895,0.9558,0.859,0.7171,0.0105,0.0337,0.0968,0.1419,0.7171,0.7984,6560452.8,2.0,6.0,16.0,24.0,119.0
12071040315,M1,55,10560000.0,138.4,0.9326,0.777,0.5538,0.3077,0.0674,0.1556,0.2232,0.2461,0.3077,0.4562,4817472.0,4.0,9.0,12.0,14.0,17.0
